issuer,raw_merchant_category_name,parsed_merchant_category_name
Naranja X,Viajes y turismo,Viajes y turismo
Naranja X,Supermercados,Supermercados
Naranja X,Servicios,Otros
Naranja X,Salud y bienestar,Salud y belleza
Naranja X,Otros,Otros
Naranja X,Moda y accesorios,Moda e indumentaria
Naranja X,Mascotas,Otros
Naranja X,Librerías,Otros
Naranja X,Juguetería,Juguetería y deportes
Naranja X,Hogar y deco,Hogar y decoración
Naranja X,Gastronomía,Gastronomía
Naranja X,Entretenimiento,Entretenimiento
Naranja X,Electro y tecnología,Electrónica y tecnología
Naranja X,Deportes,Juguetería y deportes
Naranja X,Construcción,Vehículos y combustible
Naranja X,Autos y motos,Vehículos y combustible
Naranja X,Alimentos,Supermercados
Naranja X,Transportes,Otros
Naranja X,Educación,Otros
Naranja X,Combustible,Vehículos y combustible
Banco Galicia,Viajes,Viajes y turismo
Banco Galicia,Vehículos,Vehículos y combustible
Banco Galicia,Transportes,Otros
Banco Galicia,Supermercados,Supermercados
Banco Galicia,Salud y Bienestar,Salud y belleza
Banco Galicia,Peluquerías,Salud y belleza
Banco Galicia,Otros,Otros
Banco Galicia,Mascotas,Otros
Banco Galicia,Librerías,Otros
Banco Galicia,Juguetes,Juguetería y deportes
Banco Galicia,Indumentaria,Moda e indumentaria
Banco Galicia,Hogar,Hogar y decoración
Banco Galicia,Gastronomía,Gastronomía
Banco Galicia,Entretenimiento,Entretenimiento
Banco Galicia,Electrónica,Electrónica y tecnología
Banco Galicia,Confitería,Gastronomía
Banco Galicia,Combustible,Vehículos y combustible
Banco Galicia,Bares,Gastronomía
Banco BBVA,Viajes,Viajes y turismo
Banco BBVA,Regalos,Otros
Banco BBVA,Otros comercios y servicios,Otros
Banco BBVA,Moda,Moda e indumentaria
Banco BBVA,Jugueterías,Juguetería y deportes
Banco BBVA,Hogar y Deco,Hogar y decoración
Banco BBVA,Gastronomía,Gastronomía
Banco BBVA,Entretenimiento,Entretenimiento
Banco BBVA,Electro y Tecnología,Electrónica y tecnología
Banco BBVA,Deportes,Juguetería y deportes
Banco BBVA,Belleza,Salud y belleza
Banco BBVA,Automotores,Vehículos y combustible
